data,hora,rodada,time_casa,time_visitante,status,gols_casa,gols_visitante
16/04/2025,22:30,4,Corinthians,Fluminense,FINISHED,0.0,2.0
16/04/2025,22:30,4,Internacional,Palmeiras,FINISHED,0.0,1.0
17/04/2025,00:30,4,Flamengo,Juventude,FINISHED,6.0,0.0
17/04/2025,00:30,4,Santos,Atlético-MG,FINISHED,2.0,0.0
17/04/2025,00:30,4,Vitória,Fortaleza,FINISHED,2.0,1.0
18/04/2025,00:30,4,Cruzeiro,Bahia,FINISHED,3.0,0.0
19/04/2025,19:00,5,Corinthians,Sport,FINISHED,2.0,1.0
19/04/2025,21:30,5,Vasco,Flamengo,FINISHED,0.0,0.0
20/04/2025,00:00,5,Grêmio,Internacional,FINISHED,1.0,1.0
20/04/2025,14:00,5,Juventude,Mirassol,FINISHED,2.0,2.0
20/04/2025,19:00,5,São Paulo,Santos,FINISHED,2.0,1.0
20/04/2025,19:00,5,Atlético-MG,Botafogo,FINISHED,1.0,0.0
20/04/2025,21:30,5,Fluminense,Vitória,FINISHED,1.0,1.0
20/04/2025,21:30,5,Fortaleza,Palmeiras,FINISHED,1.0,2.0
20/04/2025,23:30,5,R B Bragantino,Cruzeiro,FINISHED,1.0,0.0
21/04/2025,23:00,5,Bahia,Ceará,FINISHED,1.0,0.0
26/04/2025,19:00,6,Internacional,Juventude,FINISHED,3.0,1.0
26/04/2025,21:30,6,Mirassol,Atlético-MG,FINISHED,2.0,2.0
26/04/2025,21:30,6,Ceará,São Paulo,FINISHED,1.0,1.0
26/04/2025,23:00,6,Sport,Fortaleza,FINISHED,0.0,0.0
27/04/2025,00:00,6,Botafogo,Fluminense,FINISHED,2.0,0.0
27/04/2025,19:00,6,Flamengo,Corinthians,FINISHED,4.0,0.0
27/04/2025,21:30,6,Palmeiras,Bahia,FINISHED,0.0,1.0
27/04/2025,21:30,6,Cruzeiro,Vasco,FINISHED,1.0,0.0
27/04/2025,21:30,6,Vitória,Grêmio,FINISHED,1.0,1.0
27/04/2025,23:30,6,Santos,R B Bragantino,FINISHED,1.0,2.0
03/05/2025,00:30,7,São Paulo,Fortaleza,FINISHED,0.0,0.0
03/05/2025,21:30,7,Fluminense,Sport,FINISHED,2.0,1.0
03/05/2025,21:30,7,Corinthians,Internacional,FINISHED,4.0,2.0
03/05/2025,21:30,7,Ceará,Vitória,FINISHED,1.0,0.0
04/05/2025,00:00,7,Bahia,Botafogo,FINISHED,1.0,0.0
04/05/2025,19:00,7,Vasco,Palmeiras,FINISHED,0.0,1.0
04/05/2025,19:00,7,Grêmio,Santos,FINISHED,1.0,0.0
04/05/2025,21:30,7,Cruzeiro,Flamengo,FINISHED,2.0,1.0
05/05/2025,22:00,7,R B Bragantino,Mirassol,FINISHED,1.0,0.0
05/05/2025,23:00,7,Juventude,Atlético-MG,FINISHED,0.0,1.0
10/05/2025,19:00,8,Fortaleza,Juventude,FINISHED,5.0,0.0
10/05/2025,21:30,8,Mirassol,Corinthians,FINISHED,2.0,1.0
10/05/2025,21:30,8,Grêmio,R B Bragantino,FINISHED,1.0,1.0
10/05/2025,21:30,8,Vitória,Vasco,FINISHED,2.0,1.0
11/05/2025,00:00,8,Flamengo,Bahia,FINISHED,1.0,0.0
11/05/2025,19:00,8,Sport,Cruzeiro,FINISHED,0.0,4.0
11/05/2025,20:30,8,Palmeiras,São Paulo,FINISHED,1.0,0.0
11/05/2025,20:30,8,Atlético-MG,Fluminense,FINISHED,3.0,2.0
11/05/2025,23:00,8,Botafogo,Internacional,FINISHED,4.0,0.0
12/05/2025,23:00,8,Santos,Ceará,FINISHED,0.0,0.0
17/05/2025,19:00,9,Ceará,Sport,FINISHED,2.0,0.0
17/05/2025,21:30,9,Vasco,Fortaleza,FINISHED,3.0,0.0
18/05/2025,00:00,9,São Paulo,Grêmio,FINISHED,2.0,1.0
18/05/2025,19:00,9,Corinthians,Santos,FINISHED,1.0,0.0
18/05/2025,19:00,9,Bahia,Vitória,FINISHED,2.0,1.0
18/05/2025,19:00,9,Juventude,Fluminense,FINISHED,1.0,1.0
18/05/2025,21:30,9,Flamengo,Botafogo,FINISHED,0.0,0.0
18/05/2025,21:30,9,R B Bragantino,Palmeiras,FINISHED,1.0,2.0
18/05/2025,23:30,9,Cruzeiro,Atlético-MG,FINISHED,0.0,0.0
18/05/2025,23:30,9,Internacional,Mirassol,FINISHED,1.0,1.0
24/05/2025,21:30,10,Fluminense,Vasco,FINISHED,2.0,1.0
24/05/2025,21:30,10,São Paulo,Mirassol,FINISHED,0.0,2.0
25/05/2025,00:00,10,Atlético-MG,Corinthians,FINISHED,0.0,0.0
